disease,gt_codes,positives_GT,negatives_GT,TP,FP,FN,TN,sensitivity,specificity,PPV,NPV,F1,accuracy,ROC_AUC,PR_AUC,prevalence,fire_rate,fires
WPW,"WPW,WPWA,WPWB",49,21750,21,29,28,21721,0.42857142857142855,0.9986666666666667,0.42,0.998712584486643,0.42424242424242425,0.9973852011560164,0.7136190476190476,0.4249279455807278,0.0022478095325473646,0.002293683196476903,50
TWaveIschemia,"ALT,AT,ILT,IT,LT,MALT,MAT,MILT,MIT,MLT,NSTT,NT",3608,18191,1254,1327,2354,16864,0.3475609756097561,0.9270518388213952,0.4858581944982565,0.8775106670829431,0.40523509452254,0.8311390430753705,0.6373064072155756,0.4707028874990726,0.1655121794577733,0.11839992660213772,2581
NonspecificIVCB,"IVCB,IVCD",311,21488,170,401,141,21087,0.5466237942122186,0.9813384214445272,0.29772329246935203,0.9933578292820803,0.3854875283446712,0.9751364741501903,0.7639811078283729,0.4254076366478178,0.014266709482086335,0.026193862103766227,571
Hemiblocks,"AFB,IVCB,IVCD,PFB",844,20955,755,2379,89,18576,0.8945497630331753,0.8864710093056549,0.24090619017230377,0.9952317171175998,0.379587732528909,0.8867837974219,0.8905103861694151,0.5697693546476039,0.03871737235653012,0.14376806275517226,3134
AVBlock,"AVDIS,CHB,MBZI,MBZII,SAV,VAVB,W2T1,W3T1,W4T1",201,21598,179,565,22,21033,0.8905472636815921,0.9738401703861469,0.24059139784946237,0.9989551175492757,0.37883597883597886,0.9730721592733612,0.9321937170338694,0.5660739410687522,0.009220606449837148,0.034130005963576314,744
PulmonaryDiseasePattern,PULD,64,21735,22,35,42,21700,0.34375,0.998389694041868,0.38596491228070173,0.9980682549903412,0.36363636363636365,0.9964677278774255,0.671069847020934,0.3658208030828711,0.002935914491490435,0.002614798843983669,57
STDepressionIschemia,"ASBINJ,ISBINJ,JST,LSBINJ,MSTDAL,MSTDAS,MSTDIL,NST,SSBINJ,STDEP2",1404,20395,359,1088,1045,19307,0.2556980056980057,0.9466535915665605,0.2480995162404976,0.9486536949685535,0.25184145913714484,0.9021514748382954,0.6011757986322832,0.27586775037243527,0.06440662415707142,0.06637919170604156,1447
NonspecificTWave,"NSTT,NT,QRST",1955,19844,1847,13236,108,6608,0.9447570332480818,0.33299737956057246,0.12245574487833985,0.9839189994044074,0.21680948468130062,0.3878618285242442,0.6388772064043271,0.5360835669154058,0.08968301298224689,0.6919124730492224,15083
AcuteMISTEMI,STEMI,178,21621,47,210,131,21411,0.2640449438202247,0.9902872207575968,0.1828793774319066,0.993918856187912,0.2160919540229885,0.9843570806000276,0.6271660822889108,0.2264668856134504,0.008165512179457773,0.011789531629891279,257
IncompleteBundleBlocks,"ILBBB,IRBBB",550,21249,82,609,468,20640,0.14909090909090908,0.9713398277566003,0.11866859623733719,0.9778283115406481,0.13215149073327961,0.9505940639478875,0.5602153684237547,0.14461419002363507,0.02523051516124593,0.0316987017753108,691
STElevationInjury,"AINJ,AIOHAI,ALIHAI,ALINJ,IINJ,IIOHAI,ILIHAI,ILINJ,LINJ,LIOHAI",63,21736,29,424,34,21312,0.4603174603174603,0.9804931910195068,0.0640176600441501,0.9984071957275368,0.1124031007751938,0.9789898619202716,0.7204053256684835,0.2629474124676074,0.0028900408275608974,0.02078076976008074,453
AbnormalQRSTAngle,QRST,68,21731,68,3807,0,17924,1.0,0.8248124798674704,0.017548387096774195,1.0,0.03449150393101699,0.8253589614202487,0.9124062399337352,0.508774193548387,0.0031194091472085874,0.17776044772695995,3875
UndeterminedRhythm,UR,142,21657,33,1941,109,19716,0.2323943661971831,0.9103753982546059,0.016717325227963525,0.9945018915510718,0.031190926275992438,0.905958988944447,0.5713848822258945,0.12705596039673314,0.006514060277994403,0.09055461259690811,1974
NonspecificSTElevation,"SERYR1,SERYR2",31,21768,30,2462,1,19306,0.967741935483871,0.8868981991914737,0.012038523274478331,0.9999482053141348,0.023781212841854936,0.8870131657415478,0.9273200673376724,0.4899131662111395,0.0014220835818156796,0.11431717051240882,2492
BiventricularHypertrophy,BIVH,16,21783,0,7,16,21776,0.0,0.9996786484873526,0.0,0.9992657856093979,0.0,0.9989449057296206,0.4998393242436763,0.0003669893114363044,0.0007339786228726088,0.0003211156475067664,7
AFib,AFIB,1396,20403,0,2,1396,20401,0.0,0.9999019751997256,0.0,0.935954489149883,0.0,0.9358686178265058,0.4999509875998628,0.03201981742281756,0.06403963484563512,9.17473278590761e-05,2
AtrialFlutter,FLUT,151,21648,0,0,151,21648,0.0,1.0,0.0,0.9930730767466398,0.0,0.9930730767466398,0.5,0.003463461626680123,0.006926923253360246,0.0,0
EctopicAtrialRhythm,"EABRAD,EAR,EATACH",68,21731,0,0,68,21731,0.0,1.0,0.0,0.9968805908527915,0.0,0.9968805908527915,0.5,0.0015597045736042937,0.0031194091472085874,0.0,0
Ectopy,"ABER,PAC,PSVC,PVC",2260,19539,0,0,2260,19539,0.0,1.0,0.0,0.896325519519244,0.0,0.896325519519244,0.5,0.051837240240378,0.103674480480756,0.0,0
