disease,gt_codes,positives_GT,negatives_GT,TP,FP,FN,TN,sensitivity,specificity,PPV,NPV,F1,accuracy,ROC_AUC,PR_AUC,prevalence,fire_rate,fires,eval_mode
RVH,"RVE+,RVH",44,21755,0,0,44,21755,0.0,1.0,0.0,0.9979815587871004,0.0,0.9979815587871004,0.5,0.001009220606449837,0.002018441212899674,0.0,0,measurements_only_no_flags
SinusArrhythmia,"MSAR,SAR",1473,20326,0,0,1473,20326,0.0,1.0,0.0,0.9324280930317904,0.0,0.9324280930317904,0.5,0.03378595348410478,0.06757190696820956,0.0,0,measurements_only_no_flags
NonspecificSTDepression,(no GT),0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.328501307399422,7161,measurements_only_no_flags
PoorRWaveProgression,(no GT),0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.18065048855452084,3938,measurements_only_no_flags
QRSAxis,(no GT),0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.14014404330473876,3055,measurements_only_no_flags
STElevationMechanismUnknown,(no GT),0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.09651818890774806,2104,measurements_only_no_flags
PericarditisOrEarlyRepol,(no GT),0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0005046103032249185,11,measurements_only_no_flags
Brugada,(no GT),0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.00022936831964769026,5,measurements_only_no_flags
PediatricAtrialEnlargement,(no GT),0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0,measurements_only_no_flags
PedBiventricularHypertrophy,(no GT),0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0,measurements_only_no_flags
PediatricBrugada,(no GT),0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0,measurements_only_no_flags
PediatricConduction,(no GT),0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0,measurements_only_no_flags
PediatricDextrocardia,(no GT),0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0,measurements_only_no_flags
PedEarlyRepolPericarditis,(no GT),0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0,measurements_only_no_flags
PediatricLowVoltageQRS,(no GT),0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0,measurements_only_no_flags
PediatricLVH,(no GT),0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0,measurements_only_no_flags
PediatricQWaveMI,(no GT),0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0,measurements_only_no_flags
PedNonspecificBlock,(no GT),0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0,measurements_only_no_flags
PediatricProlongedQT,(no GT),0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0,measurements_only_no_flags
PediatricQRSAxis,(no GT),0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0,measurements_only_no_flags
PediatricRVH,(no GT),0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0,measurements_only_no_flags
PedSTDepression,(no GT),0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0,measurements_only_no_flags
PediatricSTElevation,(no GT),0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0,measurements_only_no_flags
PediatricTWave,(no GT),0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0,measurements_only_no_flags
PediatricWPW,(no GT),0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0,measurements_only_no_flags
