disease,scp_gt,positives_GT,negatives_GT,TP,FP,FN,TN,sensitivity,specificity,PPV,NPV,F1,accuracy,ROC_AUC,PR_AUC,prevalence,fire_rate,fires
LBBB,CLBBB,532,21246,103,3492,429,17754,0.19360902255639098,0.835639649816436,0.028650904033379693,0.9764065335753176,0.049915192633874485,0.8199559188171549,0.5146243361864135,0.005547073525259602,0.02442832215997796,0.16507484617503904,3595
STElevationInjury,"INJAL,INJAS,INJIL,INJIN,INJLA,STE_",351,21427,37,1812,314,19615,0.10541310541310542,0.9154337984785551,0.020010816657652784,0.9842440664358473,0.03363636363636364,0.9023785471576821,0.5104234519458302,0.0021094023257354788,0.016117182477729818,0.0849021948755625,1849
WPW,WPW,79,21699,2,769,77,20930,0.02531645569620253,0.9645605788285174,0.0025940337224383916,0.996334555148284,0.004705882352941176,0.9611534576177794,0.49493851726235993,6.567173980856688e-05,0.003627514004959133,0.03540269997244926,771
AVBlock,"2AVB,3AVB",30,21748,0,538,30,21210,0.0,0.9752620930660291,0.0,0.998587570621469,0.0,0.9739186334833319,0.48763104653301453,0.0,0.0013775369639085315,0.024703829552759664,538
BiventricularHypertrophy,BIVH,0,21778,0,1,0,21777,0.0,0.9999540821012031,0.0,1.0,0.0,0.9999540821012031,,,0.0,4.591789879695105e-05,1
AFib,AFIB,1510,20268,0,0,1510,20268,0.0,1.0,0.0,0.930663972816604,0.0,0.930663972816604,0.5,0.0,0.06933602718339608,0.0,0
AtrialFlutter,AFLT,70,21708,0,0,70,21708,0.0,1.0,0.0,0.9967857470842134,0.0,0.9967857470842134,0.5,0.0,0.0032142529157865737,0.0,0
Ectopy,"PAC,PVC,SVPB,VPB",1484,20294,0,0,1484,20294,0.0,1.0,0.0,0.9318578381853246,0.0,0.9318578381853246,0.5,0.0,0.06814216181467536,0.0,0
Pacing,PACE,285,21493,0,0,285,21493,0.0,1.0,0.0,0.986913398842869,0.0,0.986913398842869,0.5,0.0,0.01308660115713105,0.0,0
SinusArrhythmia,SARRH,771,21007,0,0,771,21007,0.0,1.0,0.0,0.9645973000275507,0.0,0.9645973000275507,0.5,0.0,0.03540269997244926,0.0,0
SinusRhythm,"SBRAD,SR,STACH",18206,3572,0,0,18206,3572,0.0,1.0,0.0,0.16401873450270915,0.0,0.16401873450270915,0.5,0.0,0.8359812654972908,0.0,0
NonspecificTWave,(no GT),0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.7384057305537699,16081
NonspecificSTDepression,(no GT),0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.5236017999816328,11403
UndeterminedRhythm,(no GT),0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.4002663238130223,8717
PoorRWaveProgression,(no GT),0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.30723666085039947,6691
AbnormalQRSTAngle,(no GT),0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.21406924419138582,4662
STElevationMechanismUnknown,(no GT),0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.18945725043622003,4126
QRSAxis,(no GT),0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.16714115162090182,3640
NonspecificSTElevation,(no GT),0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.09665717696758197,2105
JunctionalRhythm,(no GT),0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.05436679217559005,1184
PulmonaryDiseasePattern,(no GT),0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.005326476260446322,116
AcuteMISTEMI,(no GT),0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0030764992193957202,67
PediatricConduction,(no GT),0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.001790798053081091,39
PedNonspecificBlock,(no GT),0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.001698962255487189,37
