disease,has_gt,F1_measurements_only,Sens_measurements_only,Spec_measurements_only,TP_measurements_only,FP_measurements_only,FN_measurements_only,F1_derived_flags,Sens_derived_flags,Spec_derived_flags,TP_derived_flags,FP_derived_flags,FN_derived_flags,F1_statement_flags,Sens_statement_flags,Spec_statement_flags,TP_statement_flags,FP_statement_flags,FN_statement_flags,F1_delta_derived_vs_meas,F1_delta_stmt_vs_meas
LVH,True,0.5526011560693641,0.4072541382667965,0.9845118987055564,1673,274,2435,0.5251157819736373,0.3588120740019474,0.9981911706517438,1474,32,2634,0.5575438596491228,0.3868062317429406,0.999830422248601,1589,3,2519,-0.027485374095726822,0.004942703579758678
LowVoltageQRS,True,0.7664155005382132,1.0,0.9898801473674392,356,217,0,0.7672413793103449,1.0,0.9899267826330271,356,216,0,0.7672413793103449,1.0,0.9899267826330271,356,216,0,0.000825878772131694,0.000825878772131694
AFib,True,0.0,0.0,0.9999019751997256,0,2,1396,0.0,0.0,0.9999019751997256,0,2,1396,0.0,0.0,0.9999019751997256,0,2,1396,0.0,0.0
AtrialEnlargement,True,0.0,0.0,1.0,0,0,588,0.5185185185185185,0.4523809523809524,0.9918909999528547,266,172,322,0.5350444225074038,0.4608843537414966,0.9927396162368582,271,154,317,0.5185185185185185,0.5350444225074038
NonspecificIVCB,True,0.0,0.0,1.0,0,0,311,0.0,0.0,1.0,0,0,311,0.3854875283446712,0.5466237942122186,0.9813384214445272,170,401,141,0.0,0.3854875283446712
AtrialFlutter,True,0.0,0.0,1.0,0,0,151,0.0,0.0,1.0,0,0,151,0.0,0.0,1.0,0,0,151,0.0,0.0
AVBlock,True,0.7991071428571429,0.8905472636815921,0.9968515603296602,179,68,22,0.7991071428571429,0.8905472636815921,0.9968515603296602,179,68,22,0.37883597883597886,0.8905472636815921,0.9738401703861469,179,565,22,0.0,-0.42027116402116405
BiventricularHypertrophy,True,0.0,0.0,1.0,0,0,16,0.0,0.0,1.0,0,0,16,0.0,0.0,0.9996786484873526,0,7,16,0.0,0.0
JunctionalRhythm,True,0.0,0.0,1.0,0,0,135,0.0,0.0,1.0,0,0,135,0.0,0.0,1.0,0,0,135,0.0,0.0
IncompleteBundleBlocks,True,0.13162118780096307,0.14909090909090908,0.9711045225657678,82,614,468,0.13172690763052208,0.14909090909090908,0.9711515836039343,82,613,468,0.13215149073327961,0.14909090909090908,0.9713398277566003,82,609,468,0.00010571982955900894,0.0005303029323165398
EctopicAtrialRhythm,True,0.0,0.0,1.0,0,0,68,0.0,0.0,1.0,0,0,68,0.0,0.0,1.0,0,0,68,0.0,0.0
Ectopy,True,0.0,0.0,1.0,0,0,2260,0.0,0.0,1.0,0,0,2260,0.0,0.0,1.0,0,0,2260,0.0,0.0
Hemiblocks,True,0.6733958183129055,0.5533175355450237,0.9963731806251491,467,76,377,0.6724386724386724,0.5521327014218009,0.9963731806251491,466,76,378,0.379587732528909,0.8945497630331753,0.8864710093056549,755,2379,89,-0.0009571458742331229,-0.29380808578399653
NonspecificSTDepression,False,,,,,,,,,,,,,,,,,,,,
QRSAxis,False,,,,,,,,,,,,,,,,,,,,
Brugada,False,,,,,,,,,,,,,,,,,,,,
PericarditisOrEarlyRepol,False,,,,,,,,,,,,,,,,,,,,
STElevationMechanismUnknown,False,,,,,,,,,,,,,,,,,,,,
PoorRWaveProgression,False,,,,,,,,,,,,,,,,,,,,
PediatricTWave,False,,,,,,,,,,,,,,,,,,,,
PediatricWPW,False,,,,,,,,,,,,,,,,,,,,
PediatricSTElevation,False,,,,,,,,,,,,,,,,,,,,
PedSTDepression,False,,,,,,,,,,,,,,,,,,,,
PediatricRVH,False,,,,,,,,,,,,,,,,,,,,
PediatricQRSAxis,False,,,,,,,,,,,,,,,,,,,,
PediatricProlongedQT,False,,,,,,,,,,,,,,,,,,,,
PedNonspecificBlock,False,,,,,,,,,,,,,,,,,,,,
PediatricQWaveMI,False,,,,,,,,,,,,,,,,,,,,
PediatricLVH,False,,,,,,,,,,,,,,,,,,,,
PedEarlyRepolPericarditis,False,,,,,,,,,,,,,,,,,,,,
PediatricDextrocardia,False,,,,,,,,,,,,,,,,,,,,
PediatricConduction,False,,,,,,,,,,,,,,,,,,,,
PediatricBrugada,False,,,,,,,,,,,,,,,,,,,,
PedBiventricularHypertrophy,False,,,,,,,,,,,,,,,,,,,,
PediatricAtrialEnlargement,False,,,,,,,,,,,,,,,,,,,,
PediatricLowVoltageQRS,False,,,,,,,,,,,,,,,,,,,,
